task_key,attributor,pred_sum_outsider,pred_mean_diff,n_outsider,n_insider,cluster,task,margin_pts,margin_exact,cotrain_pct,target_pct,per_seed_margin
C1/open_the_middle_drawer_of_the_cabinet,TRAK,1.6180608770808282e-06,6.022567008828788e-08,120,15,C1,open_the_middle_drawer_of_the_cabinet,-6.0,-6,15.0,21.0,"[30.0, -10.0, -5.0, -30.0, -15.0]"
C1/open_the_top_drawer_and_put_the_bowl_inside,TRAK,-9.91548952856415e-07,-2.5292731687610156e-07,120,15,C1,open_the_top_drawer_and_put_the_bowl_inside,0.0,0,1.0,1.0,"[5.0, 0.0, -5.0, 0.0, 0.0]"
C1/push_the_plate_to_the_front_of_the_stove,TRAK,-4.131152222873609e-06,1.9033644953156554e-07,120,15,C1,push_the_plate_to_the_front_of_the_stove,-11.0,-11,11.0,22.0,"[-10.0, -15.0, -10.0, -30.0, 10.0]"
C1/put_the_bowl_on_the_plate,TRAK,-6.793721850352745e-06,-1.472984412442145e-07,120,15,C1,put_the_bowl_on_the_plate,-19.0,-19,18.0,37.0,"[5.0, -45.0, -20.0, -10.0, -25.0]"
C1/put_the_bowl_on_the_stove,TRAK,8.826244858040595e-06,-9.457053227582781e-08,120,15,C1,put_the_bowl_on_the_stove,22.0,22,23.0,1.0,"[15.0, 45.0, 30.0, 5.0, 15.0]"
C1/put_the_bowl_on_top_of_the_cabinet,TRAK,-5.505722968085761e-06,-3.0137850042850134e-07,120,15,C1,put_the_bowl_on_top_of_the_cabinet,23.0,23,37.0,14.0,"[30.0, -10.0, 40.0, 55.0, 0.0]"
C1/put_the_cream_cheese_in_the_bowl,TRAK,-5.00084741558844e-06,-4.6979314248073994e-07,120,15,C1,put_the_cream_cheese_in_the_bowl,10.0,10,10.0,0.0,"[5.0, 10.0, 10.0, 15.0, 10.0]"
C1/put_the_wine_bottle_on_the_rack,TRAK,3.1689555933888396e-06,-3.372200871995275e-07,120,15,C1,put_the_wine_bottle_on_the_rack,21.0,21,48.0,27.0,"[35.0, -10.0, -5.0, 40.0, 45.0]"
C1/put_the_wine_bottle_on_top_of_the_cabinet,TRAK,6.317817672254562e-06,-3.097236518266419e-07,120,15,C1,put_the_wine_bottle_on_top_of_the_cabinet,-8.0,-8,28.0,36.0,"[90.0, -25.0, -50.0, -15.0, -40.0]"
C1/turn_on_the_stove,TRAK,6.12103049591974e-06,-2.0122876917704012e-07,120,15,C1,turn_on_the_stove,-22.0,-22,47.0,69.0,"[75.0, -95.0, -40.0, -90.0, 40.0]"
C2/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,TRAK,4.958669623884915e-06,-2.529787475837799e-07,120,15,C2,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,19.0,19,71.0,52.0,"[-10.0, 45.0, 30.0, -45.0, 75.0]"
C2/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,TRAK,-1.0222856548365528e-06,-3.207769668449868e-07,120,15,C2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,-19.0,-19,18.0,37.0,"[-60.0, -35.0, 30.0, -35.0, 5.0]"
